,0,1,2,3,4,5,6,7,8,9,10,11
albite_train_015s_625-125,0.020232106,0.6117266,0.02054039,0.02845207,0.02683275,0.027493516,0.02971719,0.028347587,0.04107163,0.100714505,0.031873234,0.03299838
albite_train_015s_5250-3082,0.016065229,0.74935067,0.02017743,0.021592796,0.019027278,0.01814631,0.018914286,0.019894795,0.019860128,0.054178126,0.022388345,0.02040473
albite_train_015s_5250-3382,0.017172301,0.732506,0.016044155,0.022958659,0.019709552,0.023851441,0.020253293,0.023540383,0.02092853,0.0568386,0.023985406,0.022211697
an_train_015s_5600-443,0.011617443,0.01803201,0.015577994,0.02035066,0.01589817,0.014713202,0.016472694,0.014288001,0.8150334,0.026371647,0.015874207,0.01577054
bt_train_015s_5600-1982,0.021665055,0.024097066,0.027087746,0.7395674,0.022384575,0.023770086,0.019248297,0.023675263,0.02740659,0.025861116,0.023518927,0.021717982
qtz_train_003s_4760-96,0.63309073,0.035922963,0.035881005,0.03285551,0.03411144,0.033435136,0.031342898,0.03179235,0.030777996,0.039246306,0.032412123,0.02913154
an_train_015s_5600-1533,0.013676604,0.01698182,0.015473181,0.019822763,0.016204787,0.017960936,0.017302267,0.016203647,0.8057989,0.02742194,0.016642692,0.016510496
hb_train_120s_1225_01-310,0.00887183,0.01247296,0.86514467,0.016924903,0.014314073,0.0131783,0.013629652,0.013802742,0.012429191,0.0062708505,0.010529538,0.012431325
bt_train_120s_1225-731,0.014648179,0.02018865,0.022318788,0.7607822,0.019740943,0.02018202,0.026798822,0.023589637,0.02882723,0.024106875,0.019677889,0.019138768
aug_train_030s_5600-3578,0.020386014,0.017492166,0.026866153,0.019654464,0.021996044,0.021776292,0.7530358,0.019440327,0.02161865,0.030997256,0.02239986,0.024336943
aug_train_030s_5600-4253,0.018798506,0.021618921,0.021201309,0.025540536,0.01926621,0.01961739,0.7745565,0.019567423,0.020499712,0.021045152,0.02052473,0.017763728
aug_train_030s_5600-1143,0.016577384,0.022032905,0.024134796,0.023193192,0.019684363,0.021360105,0.76626766,0.021228116,0.021556051,0.023622097,0.021435369,0.018907823
hb_train_015s_2500-1831,0.020965556,0.015714878,0.8382507,0.0146310665,0.013758352,0.014562382,0.014869164,0.015379388,0.011950603,0.013154913,0.0136459805,0.013116936
ms_train_015s_6400-4259,0.023413524,0.021997536,0.021688724,0.016845185,0.7530261,0.02198683,0.020548442,0.0210917,0.022762932,0.027016161,0.025470832,0.024152022
mc_train_015s_5600-1496,0.010453773,0.011849157,0.00903776,0.012475533,0.011631349,0.011277323,0.012326015,0.011556345,0.009558015,0.87399876,0.014456319,0.011379579
en_train_015s_5600-44,0.012970251,0.015632264,0.014315756,0.015730653,0.018355142,0.016051076,0.023161422,0.79184717,0.036087148,0.019687485,0.017899923,0.018261654
an_train_015s_5600-2492,0.025519751,0.02275948,0.01712888,0.033757728,0.02304003,0.027762445,0.023516957,0.02625765,0.7123556,0.03995265,0.025165562,0.022783315
bt_train_015s_5600-3019,0.013743717,0.019233853,0.016358772,0.7949378,0.017487017,0.018330595,0.018098705,0.018349392,0.019658867,0.020435179,0.026697302,0.016668884
an_train_015s_5600-582,0.016196527,0.019097785,0.01894754,0.021723973,0.019306166,0.01785516,0.01744284,0.018920315,0.78469133,0.02771577,0.020118183,0.017984396
ms_train_015s_6400-4741,0.017468236,0.020902624,0.016117021,0.02248722,0.7586753,0.023282642,0.020052573,0.019466303,0.022662412,0.030109014,0.026717607,0.022059167
mc_train_015s_5600-4663,0.016284104,0.021573104,0.07619957,0.023783803,0.028930096,0.027057929,0.025179695,0.026659386,0.03128037,0.6654661,0.026751066,0.030834643
en_train_015s_5600-399,0.026410324,0.021423625,0.02795443,0.019172667,0.026289009,0.024815952,0.032661762,0.6822659,0.03692345,0.044664446,0.03187711,0.025541332
an_train_015s_5600-2101,0.01101383,0.017230332,0.017411297,0.013650232,0.013365968,0.012697597,0.0125782415,0.013803659,0.84625626,0.0149688395,0.013394188,0.013629614
ms_train_015s_6400-4485,0.018723577,0.020641778,0.018653085,0.01810814,0.76219547,0.020482894,0.020126,0.020971447,0.024605261,0.029057961,0.024580019,0.021854183
bt_train_015s_5600-2981,0.026515383,0.02568388,0.029656554,0.70913863,0.024537992,0.026050521,0.022634985,0.02546218,0.028474234,0.031923406,0.026713504,0.02320878
ms_train_015s_6400-1483,0.018049827,0.024312524,0.029556757,0.032984007,0.70377696,0.024759455,0.026004583,0.021612883,0.024997389,0.04052485,0.027927648,0.025493238
bt_train_015s_5600-3996,0.014273902,0.01905719,0.018424971,0.8051844,0.017326314,0.018828277,0.015485579,0.019569032,0.018838186,0.01884422,0.017778674,0.016389055
ms_train_015s_6400-180,0.029093916,0.027905198,0.028131297,0.026684167,0.66782254,0.02771528,0.028092168,0.02729473,0.038119793,0.033439826,0.03763033,0.02807071
gyp_train_12s_3336-798,0.0096923085,0.014068609,0.012068751,0.015272969,0.016128384,0.0145438155,0.012366877,0.015001137,0.015097107,0.0153640555,0.014874222,0.84552175
mc_train_015s_5600-1640,0.019608736,0.04552365,0.027360635,0.018751506,0.018579524,0.02448458,0.023105234,0.021181975,0.019926073,0.73829365,0.02070799,0.022476574
fo_train_030s_5040-396,0.012771722,0.015634244,0.01396522,0.014130119,0.014175287,0.8395762,0.013182041,0.014392827,0.014222785,0.017634837,0.015859367,0.014455215
ms_train_015s_6400-603,0.02645877,0.022907337,0.024681667,0.025209753,0.70671695,0.02430215,0.01978175,0.022746349,0.03155979,0.037690707,0.031367987,0.02657681
qtz_train_005s_0900-502,0.69333047,0.032409653,0.029161587,0.025486872,0.028354943,0.027813451,0.025683582,0.027205938,0.026427055,0.030495778,0.027876422,0.025754178
gyp_train_12s_3336-648,0.00832921,0.013943343,0.008986621,0.0137081435,0.014254145,0.011855498,0.0131510915,0.015164447,0.012906582,0.014277193,0.0142816445,0.85914207
mc_train_015s_5600-5010,0.01861707,0.017064167,0.02264528,0.03037249,0.019844638,0.022246199,0.025835924,0.019548839,0.019130988,0.7567001,0.025755405,0.022238852
albite_train_015s_5250-4666,0.018077467,0.72450274,0.017519504,0.020134462,0.020157306,0.01962445,0.021116372,0.022703182,0.022256758,0.066018805,0.026894612,0.020994412
hb_train_015s_2500-724,0.027488036,0.027557028,0.62388074,0.036413033,0.026031077,0.029098483,0.026957097,0.029580072,0.03785081,0.0384641,0.06641833,0.030261224
albite_train_015s_5250-738,0.015771057,0.7532825,0.014667913,0.01867395,0.01909861,0.018741213,0.020117832,0.022333708,0.017320754,0.05979585,0.020967375,0.019229326
aug_train_030s_5600-2459,0.01928051,0.020859389,0.038150307,0.023018058,0.02459995,0.023900889,0.7175912,0.02431961,0.028679194,0.0318683,0.023987869,0.023744756
qtz_train_015s_625-220,0.7340491,0.024648136,0.025794804,0.017384047,0.024165347,0.025415234,0.02694732,0.020895287,0.020297958,0.027262287,0.024317639,0.028823005
